,fast_tp,slow_tp,n,return,pf
0,5,10,3576,2679,1.0167001209340643
1,6,12,3086,-4937,0.9672012436554899
2,7,14,2660,1562,1.0111436908303661
3,8,16,2382,7142,1.0560003136393978
4,9,18,2172,1637,1.0131984197371635
5,10,20,1932,2848,1.0244440439100295
6,11,22,1744,5299,1.048030739673384
7,12,24,1607,13504,1.1330856557215427
8,13,26,1507,10170,1.1043757568294115
9,14,28,1395,21854,1.2465785881105178
10,15,30,1312,12637,1.138743426758436
11,16,32,1246,11150,1.1247510795874018
12,17,34,1176,18811,1.2254407305761104
13,18,36,1112,8106,1.092210923815372
14,19,38,1068,6312,1.0732698088462242
15,20,40,1016,3746,1.0438390150850279
16,21,42,932,-420,0.9950222285281896
17,22,44,904,-1163,0.9861177425515619
18,23,46,866,-7370,0.9150101466654355
19,24,48,848,-9832,0.8883881440782784
20,25,50,804,-2848,0.9653440054495925
21,26,52,778,-9309,0.8897807453710327
22,27,54,754,-2171,0.9723601456471344
23,28,56,736,8447,1.118020145010539
24,29,58,708,2244,1.0310885135977677
25,30,60,682,2223,1.0311488503089694
